school_code,concertado_status
04501032,No
04000018,No
04009435,No
04000021,No
04500234,No
04011703,No
04011697,No
04011351,No
04011132,No
04011296,No
04011247,No
04010358,No
04602079,No
04000092,No
04005399,No
04000080,No
04000079,No
04009447,No
04000110,No
04000134,No
04700430,No
04010929,Sí
04000262,No
04011405,No
04008923,No
04003299,No
04009915,No
04010681,No
04011314,No
04008911,No
04005594,No
04601646,No
04602158,No
04004383,No
04003706,No
04006410,No
04700260,No
04700673,No
04006045,No
04501123,No
04601981,No
04008686,No
04009873,No
04500908,No
04008662,No
04000213,No
04000225,No
04601993,No
04700201,No
04009459,No
04001904,No
04000250,No
04005284,No
04500180,No
04602092,No
04009460,No
04000365,No
04500039,No
04009733,No
04000377,No
04009423,No
04700259,No
04602109,No
04011031,No
04011260,No
04500581,No
04501093,No
04501135,No
04500660,No
04500672,No
04500696,No
04500726,No
04500763,No
04500659,No
04500684,No
04500751,No
04500775,No
04501101,No
04000286,No
04000584,Sí
04000158,No
04011156,No
04000146,Sí
04005739,Sí
04000560,Sí
04000456,Sí
04000471,Sí
04000936,Sí
04011201,No
04010723,No
04000961,Sí
04000432,Sí
04010838,No
04000951,Sí
04001199,Sí
04000511,Sí
04010905,No
04010899,No
04000468,Sí
04000602,Sí
04011442,No
04010863,No
04009231,No
04000572,Sí
04001175,No
04011119,No
04000493,Sí
04005028,Sí
04001047,Sí
04000614,Sí
04011600,No
04602262,Sí
04008480,Sí
04011338,No
04001291,No
04000985,No
04700661,No
04010656,No
04006380,No
04009253,No
04010841,No
04010693,No
04011806,No
04010243,No
04009964,No
04009952,No
04008637,No
04009681,No
04008595,No
04011831,No
04010504,No
04009745,No
04005302,No
04008455,No
04011715,No
04010747,No
04010814,No
04009851,No
04009757,No
04010401,No
04011326,No
04010772,No
04602377,No
04006343,No
04010218,No
04008650,No
04010802,No
04010671,No
04010632,No
04010255,No
04010930,No
04010437,No
04008030,No
04008674,No
04011077,No
04010531,No
04010474,No
04008947,No
04009149,No
04010619,No
04009708,No
04010565,No
04009927,No
04005004,No
04005521,No
04008467,No
04008649,No
04010875,No
04010413,No
04009198,No
04010516,No
04009939,No
04008522,No
04010462,No
04009769,No
04010589,No
04010292,No
04010851,No
04008081,No
04008492,No
04010322,No
04011168,No
04008959,No
04602341,No
04005740,No
04008698,No
04001205,No
04005673,No
04601567,No
04001072,No
04001229,No
04000924,No
04005235,No
04001308,No
04000857,No
04000997,No
04000973,No
04000791,No
04006446,No
04004954,No
04000808,No
04005697,No
04000729,No
04000811,No
04000870,No
04000900,No
04001281,No
04001266,No
04005041,No
04005326,No
04006100,No
04602134,No
04000948,No
04000730,No
04004671,No
04000821,No
04004747,No
04000833,No
04000717,No
04005053,No
04006239,No
04600022,No
04011065,No
04001242,No
04009472,No
04009113,No
04009101,No
04009095,No
04009083,No
04009071,No
04601580,No
04001230,No
04009265,No
04009034,No
04008984,No
04700181,No
04004620,No
04005958,No
04004802,No
04001163,No
04000699,No
04700442,No
04700156,No
04001151,No
04700466,No
04004814,No
04700326,No
04001187,No
04700454,No
04001141,No
04700511,No
04700651,No
04500465,No
04011375,No
04001448,No
04009630,No
04000766,No
04500945,No
04001485,No
04010644,No
04601968,No
04500982,No
04010701,No
04001771,No
04008741,No
04002192,No
04009061,No
04700533,No
04602161,No
04602195,No
04009903,No
04001709,No
04008728,No
04700545,No
04501081,No
04005272,Sí
04011107,No
04011429,No
04004723,No
04001795,No
04001783,No
04008731,No
04004541,No
04001825,No
04008315,No
04500647,No
04001345,No
04602353,Sí
04011491,No
04006574,No
04008583,No
04003238,No
04601798,No
04010309,No
04700132,No
04500179,No
04001886,No
04005533,No
04500933,No
04001916,No
04008753,No
04001931,No
04501068,No
04011430,No
04005338,No
04601610,No
04001965,No
04009940,No
04700053,No
04009538,No
04500118,No
04002179,No
04008765,No
04005211,No
04009824,No
04003718,No
04001382,No
04500453,No
04011120,No
04002027,No
04005557,No
04002039,No
04700211,No
04009496,No
04010450,No
04002052,No
04500283,No
04002234,No
04009319,No
04700557,No
04009861,No
04011181,No
04008561,No
04001321,No
04005612,No
04009484,No
04700521,No
04010310,No
04602018,No
04500520,No
04602365,No
04002295,Sí
04010361,No
04011399,No
04011511,No
04011612,No
04008479,No
04009666,No
04010917,No
04010553,No
04008601,No
04010607,No
04011363,No
04008960,No
04000444,No
04009711,No
04010449,No
04011284,No
04011466,No
04011454,No
04010541,No
04011090,No
04010383,No
04006215,No
04008558,No
04002261,No
04002283,No
04006151,No
04002271,No
04002258,No
04005430,No
04005818,No
04601622,No
04700193,No
04005351,No
04005715,No
04008996,No
04005341,No
04700314,No
04700272,No
04006689,No
04004826,No
04700481,No
04002313,No
04601890,No
04008972,No
04011387,No
04010668,No
04003755,No
04009046,No
04000331,No
04602171,No
04003366,No
04009162,No
04011821,No
04010760,No
04007517,No
04010942,No
04009642,No
04500881,No
04002507,No
04008789,No
04501044,No
04002519,No
04011053,No
04009514,No
04002532,No
04011341,No
04500155,No
04500040,No
04002593,No
04009290,No
04700569,No
04500507,No
04010498,No
04602110,No
04002611,No
04009174,No
04001497,No
04501019,No
04002635,No
04005090,No
04500799,No
04602331,No
04010735,No
04008777,No
04009228,No
04010000,No
04009800,No
04009848,No
04009241,No
04009186,No
04001862,No
04002660,No
04009371,No
04006173,No
04005582,No
04700570,No
04010954,No
04601971,No
04500428,No
04011661,No
04011855,No
04011223,No
04010425,No
04008571,No
04011004,No
04006461,No
04011028,No
04005120,No
04002684,No
04002696,No
04009010,No
04006203,No
04005363,No
04002714,No
04602043,No
04004474,No
04009629,No
04602080,No
04011478,No
04011533,No
04501111,No
04008625,No
04005995,No
04010711,No
04004498,No
04001357,No
04009289,No
04700107,No
04011508,No
04011481,No
04009307,No
04601865,No
04011272,No
04601695,No
04005223,No
04006161,No
04700624,No
04500337,No
04011740,No
04010590,No
04005442,No
04002489,No
04602213,No
04008881,No
04700363,No
04008613,No
04011302,No
04601701,No
04004851,No
04010221,No
04008421,No
04003721,No
04000341,No
04011594,No
04011764,No
04010887,No
04011727,No
04006185,No
04011752,No
04002350,No
04009009,No
04601907,No
04700478,No
04500143,No
04002957,No
04010231,No
04700582,No
04602328,No
04009654,No
04500519,No
04002601,No
04011193,No
04500404,No
04002982,No
04009526,No
04602031,No
04500994,No
04500878,No
04011089,No
04003111,No
04003123,No
04009204,No
04700302,No
04003135,No
04500091,No
04003159,No
04009541,No
04002349,No
04008807,No
04500490,No
04003160,No
04008716,No
04700090,No
04501020,No
04602183,No
04003275,No
04010279,No
04010784,No
04700594,No
04500209,No
04003381,No
04500866,No
04011259,Sí
04009897,No
04003421,No
04003433,No
04700284,No
04008871,No
04003457,No
04500131,No
04003470,No
04010280,No
04002118,No
04009502,No
04005119,No
04008819,No
04500192,No
04500817,No
04003512,No
04008820,No
04700600,No
04011776,No
04008388,No
04004553,No
04009137,No
04700144,No
04003691,No
04004632,No
04005156,No
04011144,No
04500431,No
04003551,No
04008844,No
04710010,No
04700341,No
04011545,No
04501007,No
04003664,No
04009563,No
04700612,No
04008534,No
04010620,No
04009678,No
04004462,No
04009393,No
04500064,No
04003688,No
04009575,No
04500374,No
04005764,Sí
04700375,No
04005855,Sí
04602286,No
04009216,No
04002246,No
04008091,No
04009332,No
04010012,No
04010346,No
04009885,No
04004711,No
04009401,No
04009782,No
04009836,No
04010334,No
04009721,No
04004681,No
04007700,No
04004589,No
04003810,No
04004577,No
04009381,No
04003809,No
04009022,No
04010371,No
04710022,No
04008901,No
04700648,No
04004966,No
04700016,No
04010981,No
04005089,No
04004504,No
04008790,No
04601555,No
04011818,No
04501071,No
04007797,No
04003354,No
04009551,No
04602304,No
04000122,No
04003378,No
04010796,No
04500052,No
04008935,No
04008546,No
04009277,No
04011739,No
04601671,No
04601531,No
04002180,No
04700685,No
04500957,No
04003925,No
04009587,No
04700399,No
04500416,No
04004051,No
04602225,No
04010577,No
04700417,No
04602122,No
04501056,No
04004085,No
04008856,No
04700429,No
04004115,No
04500027,No
04004152,No
04002362,No
04500970,No
04004176,No
04009691,No
04700351,No
04601932,No
04500489,No
04004206,No
04010267,No
04004231,No
04009605,No
04500088,No
04004309,No
04008704,No
04500121,No
04004322,No
04004310,No
04700296,No
04602298,No
04009617,No
04008443,No
04700508,No
04700491,No
04601634,No
04008832,No
04500477,No
04011211,No
04009320,No
04004590,No
04011521,No
04005193,No
04006197,No
04004401,No
04009125,No
04008509,No
04004437,No
04004978,No
04500805,No
04003962,No
04010991,No
04004449,No
04009770,No
04010395,No
04700636,No
04500313,No
04003767,Sí
04005201,No
04008868,No
04009058,No
04008893,No
04602006,No
04500921,No
04004486,No
11500501,No
11000022,Sí
11000034,Sí
11000010,No
11000061,No
11011706,No
11700305,No
11500031,No
11000071,No
11007971,No
11009581,No
11700470,No
11500146,No
11000095,No
11011718,No
11013508,No
11012590,No
11500811,No
11500535,No
11500456,No
11008768,No
